ERROR:root:2022-08-16 05:56:35.129692: Forecast for 101065.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:35.331050: Forecast for 100971.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:35.578839: Forecast for 101004.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:35.811472: Forecast for 101009.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:36.019900: Forecast for 103943.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:36.228736: Forecast for 151028.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:36.450975: Forecast for 852678.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:36.677748: Forecast for 874863.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:56:41.280201: Observations for [49.703541, -0.039065, 49.357709, 1.30676] were not loaded from FMI.
ERROR:root:2022-08-16 16:56:41.313940: Observations for [59.373294, 17.811224, 59.239389, 18.324532] were not loaded from FMI.
ERROR:root:2022-08-16 16:57:18.113171: Forecast for LFOH of Aeris observation source was not loaded from FMI
ERROR:root:2022-08-16 16:57:18.166297: Forecast for MID_E6240 of Aeris observation source was not loaded from FMI
ERROR:root:2022-08-16 16:57:18.384887: Forecast for MID_E8226 of Aeris observation source was not loaded from FMI
ERROR:root:2022-08-16 16:57:18.512005: Forecast for MID_G1111 of Aeris observation source was not loaded from FMI
ERROR:root:2022-08-16 16:57:20.823500: Forecast for Singapore Zoo of manual observation source was not loaded from FMI
ERROR:root:2022-08-16 16:57:20.950713: Forecast for Kaikoura of manual observation source was not loaded from FMI
ERROR:root:2022-08-16 16:57:43.346650: Forecast for 100945.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 16:57:43.584331: Forecast for 100947.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 16:57:43.807782: Forecast for 100949.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 16:57:44.015213: Forecast for 100951.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 16:57:44.240496: Forecast for 101065.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 16:57:44.449306: Forecast for 100971.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 16:57:44.672339: Forecast for 101004.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 16:57:44.896909: Forecast for 101009.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 16:57:45.127033: Forecast for 103943.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 16:57:45.360481: Forecast for 151028.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 16:57:45.562998: Forecast for 852678.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 16:57:45.796321: Forecast for 874863.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 16:57:46.015562: Forecast for Emäsalo bridge of manual observation source was not loaded from Accuweather
ERROR:root:2022-08-16 16:57:46.230207: Forecast for Singapore Zoo of manual observation source was not loaded from Accuweather
ERROR:root:2022-08-16 16:57:46.445565: Forecast for Kaikoura of manual observation source was not loaded from Accuweather
ERROR:root:2022-08-16 16:58:09.325891: Forecast for MID_C1136 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:09.459142: Forecast for MID_D1410 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:09.634347: Forecast for MID_D2380 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:09.797102: Forecast for MID_D8228 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:09.934832: Forecast for MID_AS468 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:10.101784: Forecast for MID_AV970 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:10.266877: Forecast for MID_E7395 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:10.406991: Forecast for PWS_BASSEDV1 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:10.572385: Forecast for EFHK of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:10.709898: Forecast for LFOH of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:10.844375: Forecast for MID_E6240 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:10.985457: Forecast for MID_E8226 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:11.135304: Forecast for MID_G1111 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:11.296544: Forecast for ESSB of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:11.448200: Forecast for PWS_JNSSON of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:11.617224: Forecast for PWS_LOBECO of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:11.780693: Forecast for PWS_SEGELTORPCENTRAL of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:11.939460: Forecast for 100934.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:12.090049: Forecast for 100945.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:12.264346: Forecast for 100947.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:12.423021: Forecast for 100949.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:12.606895: Forecast for 100951.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:12.804082: Forecast for 101065.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:12.976178: Forecast for 100971.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:13.116128: Forecast for 101004.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:13.278627: Forecast for 101009.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:13.417719: Forecast for 103943.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:13.563963: Forecast for 151028.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:13.702882: Forecast for 852678.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:13.854122: Forecast for 874863.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:13.999453: Forecast for Emäsalo bridge of manual observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:14.166125: Forecast for Singapore Zoo of manual observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 16:58:14.335291: Forecast for Kaikoura of manual observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:33:47.379913: Observations for [49.703541, -0.039065, 49.357709, 1.30676] were not loaded from FMI.
ERROR:root:2022-08-16 17:33:47.423779: Observations for [59.373294, 17.811224, 59.239389, 18.324532] were not loaded from FMI.
ERROR:root:2022-08-16 17:34:28.694688: Forecast for LFOH of Aeris observation source was not loaded from FMI
ERROR:root:2022-08-16 17:34:28.760586: Forecast for MID_E6240 of Aeris observation source was not loaded from FMI
ERROR:root:2022-08-16 17:34:29.016512: Forecast for MID_E8226 of Aeris observation source was not loaded from FMI
ERROR:root:2022-08-16 17:34:29.077242: Forecast for MID_G1111 of Aeris observation source was not loaded from FMI
ERROR:root:2022-08-16 17:34:31.527822: Forecast for Singapore Zoo of manual observation source was not loaded from FMI
ERROR:root:2022-08-16 17:34:31.589512: Forecast for Kaikoura of manual observation source was not loaded from FMI
ERROR:root:2022-08-16 17:34:38.528522: Forecast for MID_C1136 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:38.737736: Forecast for MID_D1410 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:38.950669: Forecast for MID_D2380 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:39.171028: Forecast for MID_D8228 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:39.373311: Forecast for MID_AS468 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:39.652428: Forecast for MID_AV970 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:39.868867: Forecast for MID_E7395 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:40.170365: Forecast for PWS_BASSEDV1 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:40.400040: Forecast for EFHK of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:40.608109: Forecast for LFOH of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:40.837958: Forecast for MID_E6240 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:41.100694: Forecast for MID_E8226 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:41.306193: Forecast for MID_G1111 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:41.531541: Forecast for ESSB of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:41.916626: Forecast for PWS_JNSSON of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:42.124209: Forecast for PWS_LOBECO of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:42.350938: Forecast for PWS_SEGELTORPCENTRAL of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:42.562071: Forecast for 100934.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:42.783994: Forecast for 100945.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:43.031910: Forecast for 100947.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:43.299461: Forecast for 100949.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:43.581537: Forecast for 100951.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:43.810187: Forecast for 101065.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:44.050954: Forecast for 100971.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:44.318112: Forecast for 101004.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:44.564186: Forecast for 101009.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:44.804465: Forecast for 103943.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:45.078957: Forecast for 151028.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:45.398694: Forecast for 852678.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:45.607430: Forecast for 874863.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:45.902685: Forecast for Emäsalo bridge of manual observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:46.222353: Forecast for Singapore Zoo of manual observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:34:46.431015: Forecast for Kaikoura of manual observation source was not loaded from Accuweather
ERROR:root:2022-08-16 17:35:08.412154: Forecast for MID_C1136 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:08.532308: Forecast for MID_D1410 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:08.654681: Forecast for MID_D2380 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:08.781946: Forecast for MID_D8228 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:08.902032: Forecast for MID_AS468 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:09.043806: Forecast for MID_AV970 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:09.168670: Forecast for MID_E7395 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:09.294008: Forecast for PWS_BASSEDV1 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:09.421014: Forecast for EFHK of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:09.562417: Forecast for LFOH of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:09.688455: Forecast for MID_E6240 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:09.810867: Forecast for MID_E8226 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:09.945040: Forecast for MID_G1111 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:10.072751: Forecast for ESSB of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:10.206149: Forecast for PWS_JNSSON of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:10.329277: Forecast for PWS_LOBECO of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:10.457235: Forecast for PWS_SEGELTORPCENTRAL of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:10.608269: Forecast for 100934.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:10.735397: Forecast for 100945.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:10.873865: Forecast for 100947.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:11.031099: Forecast for 100949.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:11.189827: Forecast for 100951.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:11.317766: Forecast for 101065.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:11.507103: Forecast for 100971.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:11.645298: Forecast for 101004.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:11.775949: Forecast for 101009.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:11.907543: Forecast for 103943.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:12.030100: Forecast for 151028.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:12.163786: Forecast for 852678.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:12.294265: Forecast for 874863.0 of FMI observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:12.413814: Forecast for Emäsalo bridge of manual observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:12.565688: Forecast for Singapore Zoo of manual observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:35:12.696011: Forecast for Kaikoura of manual observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 17:48:49.739759: Forecast for MID_C1136 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 18:05:24.512936: Forecast for MID_C1136 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 18:28:52.880981: Forecast for MID_C1136 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 18:29:52.652078: Forecast for MID_C1136 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 20:28:29.751185: Observations for [49.703541, -0.039065, 49.357709, 1.30676] were not loaded from FMI.
ERROR:root:2022-08-16 20:28:29.800300: Observations for [59.373294, 17.811224, 59.239389, 18.324532] were not loaded from FMI.
ERROR:root:2022-08-16 20:28:51.279217: Forecast for MID_C1136 of Aeris observation source was not loaded from Meteomatics
